Label,Sequence
promotional,8 45 46 160 161 26 138 49 50 51
ham,96 97 98 131 185 99 57 16 17 103 104
social,1 2 3 4 5 6 7 8 24 25
social,163 144 26 151 8 9 10 11 164 93 165 2
social,21 22 23 13 8 45 26 20 27 28 29 128
social,163 144 26 20 8 9 10 11 164 93 165 128
social,60 3 22 61 13 9 10 11 50 112 113 128
ham,12 6 14 15 9 78 18 19
social,21 22 23 13 8 129 26 35 173 27 28 29 30
promotional,115 116 98 140 45 120 44 121 162
spam,106 60 41 9 174 175 176 94 5 177 178 145
ham,96 97 98 13 91 125 99 57 100 101 102 103 104
social,21 22 23 13 149 150 26 62 27 28 29 30
social,163 144 26 151 8 8 45 164 93 165 114
social,1 128 3 4 5 62 8 149 150
social,60 3 22 61 13 9 10 11 50 151 2
promotional,75 44 26 138 162 57 68 77 70 71
spam,106 60 41 9 203 204 176 196 5 177 178 145
social,60 3 22 61 13 24 25 50 6 7 2
ham,96 97 98 108 14 99 57 8 45 103 104
spam,179 180 181 155 156 182 183 184 5 95
social,1 114 3 4 5 20 8 8 45
promotional,8 45 46 166 26 76 49 50 122
promotional,115 116 98 138 160 161 120 44 121 122
social,79 80 57 24 25 81 82 26 112 113 83 128
promotional,8 45 46 68 26 72 49 50 162
social,163 144 26 151 8 24 25 164 93 165 128
spam,130 35 131 132 86 38 133 134 135 120 42 94 57 136
spam,197 158 35 191 192 44 198 184 199 176 43 200 201 202
promotional,106 60 41 65 146 89 137 147 26 122 148 145
promotional,8 45 46 160 161 26 76 49 50 139
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 95
promotional,106 60 41 48 146 89 137 147 26 73 148 100 101 102
promotional,63 64 26 117 118 119 51 68 69 78
promotional,63 64 26 138 139 68 69 8 45
spam,152 153 154 89 155 156 157 94 5 158 35 159
social,1 141 3 4 5 151 8 149 150
promotional,75 44 26 138 66 67 57 47 77 70 71
ham,131 91 124 125 55 8 45 126 119 127
ham,106 107 35 143 144 26 131 9 8 45 109 110 111
spam,130 35 131 132 86 38 133 134 135 120 42 105 57 136
ham,106 107 35 143 144 26 123 9 78 109 110 111
social,163 144 26 35 173 8 8 129 164 93 165 2
ham,106 107 35 143 144 26 74 9 70 71 109 110 111
promotional,75 44 26 76 139 57 160 161 77 8 45
social,163 144 26 35 173 8 8 45 164 93 165 2
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 43
spam,31 32 33 34 35 36 37 38 39 40 3 41 42 43 44
social,60 3 22 61 13 24 25 50 35 173 30
ham,193 91 124 125 55 100 101 102 126 119 127
social,21 22 23 13 24 25 26 20 27 28 29 141
promotional,63 64 26 72 122 45 69 70 71
spam,130 35 131 132 86 38 133 134 135 120 42 105 57 136
promotional,63 64 26 138 122 68 69 16 17
spam,179 180 181 155 156 182 183 184 5 95
promotional,115 116 98 138 137 120 44 121 162
promotional,106 60 41 48 146 89 137 147 26 51 148 70 71
social,1 2 3 4 5 112 113 8 8 45
social,79 80 57 9 10 11 81 82 26 62 83 128
ham,52 53 35 143 144 55 56 57 78 18 35 58 59
promotional,8 45 46 137 26 65 49 50 73
ham,12 193 14 15 9 70 71 18 19
social,60 3 22 61 13 8 45 50 20 128
promotional,75 44 26 117 118 119 66 67 57 68 77 70 71
ham,96 97 98 52 14 99 57 70 71 103 104
promotional,63 64 26 117 118 119 66 67 47 69 8 45
spam,197 158 35 203 204 44 198 184 199 176 43 200 201 202
promotional,63 64 26 65 162 47 69 145
ham,96 97 98 193 143 144 99 57 70 71 103 104
promotional,63 64 26 140 73 45 69 8 45
ham,123 53 35 14 55 56 57 16 17 18 35 58 59
promotional,75 44 26 76 122 57 160 161 77 145
spam,197 158 35 155 156 44 198 184 199 176 196 200 201 202
ham,74 53 35 143 144 55 56 57 16 17 18 35 58 59
promotional,63 64 26 48 162 160 161 69 78
promotional,106 60 41 65 146 89 160 161 147 26 66 67 148 78
social,60 3 22 61 13 8 45 50 35 173 2
spam,106 60 41 9 191 192 176 196 5 177 178 145
ham,142 53 35 54 55 56 57 16 17 18 35 58 59
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 43
ham,131 53 35 54 55 56 57 100 101 102 18 35 58 59
social,60 3 22 61 13 8 129 50 112 113 2
ham,131 53 35 91 125 55 56 57 78 18 35 58 59
ham,12 13 14 15 9 145 18 19
promotional,106 60 41 72 146 89 137 147 26 66 67 148 70 71
spam,179 180 181 203 204 182 183 184 5 196
ham,96 97 98 108 91 125 99 57 16 17 103 104
ham,123 53 35 143 144 55 56 57 16 17 18 35 58 59
promotional,106 60 41 138 146 89 166 147 26 162 148 100 101 102
ham,193 91 124 125 55 70 71 126 119 127
ham,106 107 35 32 26 74 9 8 45 109 110 111
ham,108 53 35 14 55 56 57 8 45 18 35 58 59
social,60 3 22 61 13 24 25 50 20 30
ham,106 107 35 91 125 26 193 9 8 45 109 110 111
promotional,106 60 41 138 146 89 160 161 147 26 139 148 8 45
ham,106 107 35 32 26 142 9 100 101 102 109 110 111
social,60 3 22 61 13 9 10 11 50 35 173 128
promotional,63 64 26 48 66 67 166 69 70 71
social,79 80 57 9 10 11 81 82 26 20 83 141
promotional,115 116 98 48 160 161 120 44 121 66 67
ham,106 107 35 54 26 193 9 8 45 109 110 111
spam,115 191 192 116 57 3 194 195 176 94 44
promotional,106 60 41 48 146 89 137 147 26 122 148 78
social,163 144 26 62 8 8 45 164 93 165 128
promotional,8 45 46 68 26 48 49 50 73
ham,96 97 98 131 143 144 99 57 16 17 103 104
promotional,8 45 46 45 26 117 118 119 49 50 139
promotional,63 64 26 65 122 68 69 8 45
ham,123 53 35 185 55 56 57 145 18 35 58 59
ham,96 97 98 123 143 144 99 57 16 17 103 104
ham,74 53 35 185 55 56 57 8 45 18 35 58 59
promotional,8 45 46 68 26 65 49 50 139
social,21 22 23 13 24 25 26 35 173 27 28 29 2
social,21 22 23 13 9 10 11 26 151 27 28 29 114
spam,115 155 156 116 57 3 194 195 176 94 44
promotional,115 116 98 48 160 161 120 44 121 122
spam,152 153 154 89 203 204 157 43 5 158 35 159
social,163 144 26 35 173 8 8 45 164 93 165 114
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 196
social,1 2 3 4 5 62 8 8 45
promotional,106 60 41 117 118 119 146 89 68 147 26 139 148 78
ham,12 108 14 15 9 8 45 18 19
ham,106 107 35 14 26 52 9 16 17 109 110 111
spam,197 158 35 155 156 44 198 184 199 176 95 200 201 202
spam,185 186 164 93 187 188 57 3 189 98 190 92 196
ham,131 91 124 125 55 16 17 126 119 127
social,163 144 26 62 8 8 129 164 93 165 114
spam,106 60 41 9 191 192 176 94 5 177 178 145
ham,96 97 98 6 143 144 99 57 78 103 104
ham,142 53 35 32 55 56 57 100 101 102 18 35 58 59
ham,12 142 14 15 9 70 71 18 19
ham,52 53 35 185 55 56 57 70 71 18 35 58 59
social,1 141 3 4 5 112 113 8 8 45
promotional,106 60 41 76 146 89 45 147 26 162 148 78
promotional,115 116 98 65 68 120 44 121 73
promotional,63 64 26 117 118 119 162 68 69 78
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 196
promotional,115 116 98 117 118 119 137 120 44 121 162
ham,13 91 124 125 55 16 17 126 119 127
ham,142 53 35 143 144 55 56 57 16 17 18 35 58 59
spam,185 186 164 93 187 188 57 3 189 98 190 92 94
social,163 144 26 6 7 8 149 150 164 93 165 128
social,1 114 3 4 5 6 7 8 9 10 11
promotional,8 45 46 45 26 138 49 50 51
ham,96 97 98 74 14 99 57 145 103 104
promotional,63 64 26 117 118 119 51 47 69 145
promotional,75 44 26 48 51 57 137 77 100 101 102
ham,106 107 35 91 125 26 6 9 145 109 110 111
spam,115 174 175 116 57 3 194 195 176 95 44
social,60 3 22 61 13 9 10 11 50 151 114
promotional,106 60 41 48 146 89 68 147 26 66 67 148 145
social,60 3 22 61 13 24 25 50 6 7 114
promotional,115 116 98 65 166 120 44 121 51
ham,12 193 14 15 9 100 101 102 18 19
promotional,8 45 46 45 26 65 49 50 51
promotional,75 44 26 117 118 119 51 57 68 77 16 17
social,1 128 3 4 5 151 8 24 25
social,1 30 3 4 5 151 8 149 150
social,60 3 22 61 13 149 150 50 6 7 128
promotional,106 60 41 76 146 89 68 147 26 66 67 148 145
spam,106 60 41 9 155 156 176 196 5 177 178 145
promotional,106 60 41 140 146 89 47 147 26 73 148 100 101 102
social,1 114 3 4 5 62 8 8 129
spam,115 191 192 116 57 3 194 195 176 196 44
promotional,115 116 98 76 160 161 120 44 121 139
spam,115 203 204 116 57 3 194 195 176 94 44
social,1 128 3 4 5 6 7 8 149 150
promotional,115 116 98 117 118 119 68 120 44 121 66 67
promotional,8 45 46 47 26 65 49 50 139
ham,131 91 124 125 55 70 71 126 119 127
social,1 128 3 4 5 35 173 8 8 45
promotional,63 64 26 72 139 68 69 16 17
promotional,75 44 26 140 66 67 57 160 161 77 78
ham,96 97 98 123 54 99 57 145 103 104
promotional,75 44 26 117 118 119 162 57 160 161 77 145
promotional,115 116 98 76 68 120 44 121 51
promotional,106 60 41 138 146 89 45 147 26 162 148 100 101 102
social,79 80 57 149 150 81 82 26 151 83 114
promotional,8 45 46 45 26 140 49 50 73
social,21 22 23 13 24 25 26 62 27 28 29 114
ham,96 97 98 108 185 99 57 100 101 102 103 104
ham,131 91 124 125 55 8 45 126 119 127
social,60 3 22 61 13 8 129 50 151 30
social,79 80 57 8 129 81 82 26 35 173 83 128
promotional,115 116 98 76 160 161 120 44 121 73
promotional,8 45 46 47 26 117 118 119 49 50 73
spam,106 60 41 9 155 156 176 95 5 177 178 145
ham,96 97 98 193 185 99 57 78 103 104
promotional,63 64 26 72 73 160 161 69 145
promotional,75 44 26 76 122 57 160 161 77 145
social,1 2 3 4 5 20 8 149 150
spam,115 155 156 116 57 3 194 195 176 105 44
promotional,115 116 98 140 166 120 44 121 51
ham,74 53 35 14 55 56 57 8 45 18 35 58 59
promotional,8 45 46 160 161 26 140 49 50 66 67
spam,179 180 181 203 204 182 183 184 5 95
promotional,63 64 26 72 66 67 45 69 78
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 196
ham,131 91 124 125 55 145 126 119 127
spam,185 186 164 93 187 188 57 3 189 98 190 92 43
social,163 144 26 6 7 8 8 129 164 93 165 128
promotional,63 64 26 138 66 67 160 161 69 70 71
promotional,8 45 46 47 26 140 49 50 73
social,163 144 26 151 8 9 10 11 164 93 165 114
promotional,75 44 26 76 73 57 166 77 70 71
promotional,8 45 46 47 26 138 49 50 139
promotional,115 116 98 138 45 120 44 121 122
ham,131 53 35 91 125 55 56 57 78 18 35 58 59
social,60 3 22 61 13 8 45 50 151 2
spam,130 35 131 132 86 38 133 134 135 120 42 105 57 136
ham,12 123 14 15 9 100 101 102 18 19
promotional,8 45 46 166 26 76 49 50 66 67
promotional,115 116 98 140 160 161 120 44 121 139
ham,106 107 35 54 26 193 9 100 101 102 109 110 111
social,163 144 26 6 7 8 24 25 164 93 165 114
promotional,106 60 41 65 146 89 166 147 26 162 148 8 45
spam,31 32 33 34 35 36 37 38 39 40 3 41 42 94 44
ham,52 53 35 91 125 55 56 57 70 71 18 35 58 59
spam,115 203 204 116 57 3 194 195 176 43 44
social,1 128 3 4 5 112 113 8 24 25
promotional,115 116 98 117 118 119 47 120 44 121 51
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 43
ham,12 13 14 15 9 78 18 19
spam,179 180 181 191 192 182 183 184 5 196
promotional,106 60 41 76 146 89 137 147 26 66 67 148 70 71
spam,115 174 175 116 57 3 194 195 176 94 44
social,60 3 22 61 13 24 25 50 62 30
promotional,115 116 98 138 137 120 44 121 162
ham,6 53 35 143 144 55 56 57 8 45 18 35 58 59
social,1 141 3 4 5 6 7 8 8 129
social,79 80 57 8 129 81 82 26 112 113 83 2
ham,96 97 98 123 91 125 99 57 16 17 103 104
promotional,8 45 46 166 26 76 49 50 139
ham,12 74 14 15 9 145 18 19
promotional,115 116 98 65 137 120 44 121 66 67
social,163 144 26 6 7 8 149 150 164 93 165 30
social,1 128 3 4 5 151 8 8 129
promotional,8 45 46 47 26 48 49 50 122
social,21 22 23 13 24 25 26 62 27 28 29 114
social,1 114 3 4 5 112 113 8 8 45
social,60 3 22 61 13 8 45 50 62 2
social,79 80 57 24 25 81 82 26 151 83 114
social,60 3 22 61 13 149 150 50 20 30
social,1 128 3 4 5 6 7 8 149 150
social,79 80 57 8 45 81 82 26 62 83 141
social,21 22 23 13 8 45 26 62 27 28 29 141
spam,185 186 164 93 187 188 57 3 189 98 190 92 95
promotional,8 45 46 137 26 76 49 50 73
spam,31 32 33 34 35 36 37 38 39 40 3 41 42 94 44
promotional,63 64 26 76 139 68 69 145
ham,12 6 14 15 9 70 71 18 19
social,1 114 3 4 5 20 8 24 25
spam,152 153 154 89 203 204 157 94 5 158 35 159
promotional,8 45 46 45 26 48 49 50 51
promotional,63 64 26 117 118 119 139 166 69 8 45
social,79 80 57 9 10 11 81 82 26 62 83 2
social,163 144 26 35 173 8 149 150 164 93 165 30
social,79 80 57 24 25 81 82 26 62 83 141
ham,12 131 14 15 9 100 101 102 18 19
spam,115 191 192 116 57 3 194 195 176 43 44
ham,12 74 14 15 9 16 17 18 19
promotional,63 64 26 65 162 166 69 70 71
social,163 144 26 151 8 9 10 11 164 93 165 128
promotional,115 116 98 65 166 120 44 121 66 67
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 43
promotional,75 44 26 48 139 57 68 77 78
spam,179 180 181 191 192 182 183 184 5 43
ham,106 107 35 91 125 26 6 9 100 101 102 109 110 111
ham,106 107 35 32 26 74 9 78 109 110 111
social,60 3 22 61 13 8 45 50 35 173 128
spam,130 35 131 132 86 38 133 134 135 120 42 94 57 136
promotional,8 45 46 47 26 76 49 50 73
ham,13 53 35 14 55 56 57 16 17 18 35 58 59
spam,152 153 154 89 203 204 157 95 5 158 35 159
social,1 114 3 4 5 151 8 149 150
promotional,115 116 98 48 68 120 44 121 122
promotional,63 64 26 138 139 47 69 70 71
spam,106 60 41 9 155 156 176 94 5 177 178 145
spam,130 35 131 132 86 38 133 134 135 120 42 196 57 136
ham,12 74 14 15 9 16 17 18 19
spam,185 186 164 93 187 188 57 3 189 98 190 92 196
ham,106 107 35 32 26 74 9 8 45 109 110 111
ham,123 53 35 32 55 56 57 78 18 35 58 59
promotional,115 116 98 140 68 120 44 121 122
ham,106 107 35 14 26 6 9 8 45 109 110 111
promotional,75 44 26 138 162 57 137 77 16 17
social,79 80 57 8 129 81 82 26 6 7 83 2
ham,12 123 14 15 9 78 18 19
spam,106 60 41 9 191 192 176 196 5 177 178 145
spam,115 203 204 116 57 3 194 195 176 94 44
social,163 144 26 20 8 8 129 164 93 165 2
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 196
promotional,8 45 46 137 26 138 49 50 66 67
promotional,115 116 98 140 160 161 120 44 121 139
social,21 22 23 13 24 25 26 6 7 27 28 29 141
spam,115 174 175 116 57 3 194 195 176 196 44
social,21 22 23 13 9 10 11 26 35 173 27 28 29 114
promotional,63 64 26 140 51 68 69 16 17
promotional,63 64 26 117 118 119 66 67 166 69 145
promotional,75 44 26 65 162 57 45 77 70 71
social,60 3 22 61 13 24 25 50 62 2
ham,108 91 124 125 55 100 101 102 126 119 127
promotional,115 116 98 76 137 120 44 121 162
ham,131 53 35 91 125 55 56 57 16 17 18 35 58 59
social,21 22 23 13 8 129 26 20 27 28 29 2
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 105
promotional,115 116 98 138 68 120 44 121 51
social,79 80 57 9 10 11 81 82 26 6 7 83 128
promotional,63 64 26 48 66 67 45 69 145
social,60 3 22 61 13 9 10 11 50 151 114
promotional,106 60 41 117 118 119 146 89 68 147 26 51 148 8 45
social,79 80 57 8 129 81 82 26 35 173 83 30
promotional,115 116 98 138 45 120 44 121 162
social,60 3 22 61 13 24 25 50 151 114
spam,130 35 131 132 86 38 133 134 135 120 42 43 57 136
spam,185 186 164 93 187 188 57 3 189 98 190 92 94
social,79 80 57 149 150 81 82 26 112 113 83 141
ham,12 52 14 15 9 145 18 19
ham,106 107 35 143 144 26 142 9 8 45 109 110 111
promotional,63 64 26 72 73 166 69 70 71
promotional,63 64 26 48 66 67 68 69 8 45
promotional,8 45 46 137 26 140 49 50 162
social,21 22 23 13 9 10 11 26 35 173 27 28 29 2
social,163 144 26 35 173 8 9 10 11 164 93 165 141
ham,12 123 14 15 9 78 18 19
social,60 3 22 61 13 8 129 50 62 128
promotional,75 44 26 76 122 57 47 77 78
ham,52 53 35 91 125 55 56 57 78 18 35 58 59
social,163 144 26 20 8 8 129 164 93 165 141
social,1 141 3 4 5 6 7 8 8 129
spam,115 191 192 116 57 3 194 195 176 94 44
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 94
promotional,115 116 98 72 166 120 44 121 73
social,60 3 22 61 13 149 150 50 6 7 128
promotional,63 64 26 76 139 45 69 16 17
social,163 144 26 112 113 8 8 45 164 93 165 114
social,21 22 23 13 149 150 26 151 27 28 29 30
promotional,106 60 41 65 146 89 160 161 147 26 51 148 8 45
social,1 128 3 4 5 112 113 8 8 129
promotional,63 64 26 65 139 137 69 8 45
promotional,115 116 98 65 68 120 44 121 51
ham,12 74 14 15 9 8 45 18 19
ham,106 107 35 185 26 131 9 145 109 110 111
social,60 3 22 61 13 9 10 11 50 151 128
ham,74 91 124 125 55 70 71 126 119 127
promotional,75 44 26 76 122 57 45 77 78
promotional,8 45 46 160 161 26 65 49 50 66 67
social,60 3 22 61 13 8 129 50 112 113 30
social,79 80 57 8 129 81 82 26 151 83 114
social,163 144 26 112 113 8 149 150 164 93 165 30
social,21 22 23 13 8 45 26 151 27 28 29 30
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 105
social,21 22 23 13 149 150 26 151 27 28 29 128
promotional,106 60 41 72 146 89 160 161 147 26 162 148 70 71
social,21 22 23 13 24 25 26 35 173 27 28 29 2
social,21 22 23 13 24 25 26 112 113 27 28 29 2
spam,179 180 181 174 175 182 183 184 5 43
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 196
social,163 144 26 20 8 9 10 11 164 93 165 114
ham,96 97 98 131 14 99 57 100 101 102 103 104
ham,106 107 35 14 26 52 9 16 17 109 110 111
promotional,8 45 46 160 161 26 138 49 50 73
promotional,115 116 98 117 118 119 47 120 44 121 51
ham,142 91 124 125 55 70 71 126 119 127
social,60 3 22 61 13 9 10 11 50 151 30
social,21 22 23 13 149 150 26 35 173 27 28 29 30
spam,130 35 131 132 86 38 133 134 135 120 42 95 57 136
spam,197 158 35 203 204 44 198 184 199 176 94 200 201 202
ham,106 107 35 185 26 108 9 100 101 102 109 110 111
social,163 144 26 6 7 8 8 45 164 93 165 128
spam,130 35 131 132 86 38 133 134 135 120 42 94 57 136
promotional,106 60 41 140 146 89 47 147 26 73 148 8 45
promotional,75 44 26 76 122 57 160 161 77 145
promotional,75 44 26 140 73 57 45 77 78
spam,152 153 154 89 203 204 157 196 5 158 35 159
spam,152 153 154 89 174 175 157 94 5 158 35 159
ham,6 53 35 143 144 55 56 57 100 101 102 18 35 58 59
social,163 144 26 35 173 8 24 25 164 93 165 141
ham,123 91 124 125 55 100 101 102 126 119 127
ham,74 91 124 125 55 8 45 126 119 127
social,21 22 23 13 9 10 11 26 151 27 28 29 128
social,163 144 26 62 8 24 25 164 93 165 128
social,21 22 23 13 9 10 11 26 112 113 27 28 29 141
promotional,75 44 26 138 73 57 166 77 78
social,1 30 3 4 5 20 8 9 10 11
promotional,106 60 41 72 146 89 160 161 147 26 51 148 8 45
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 196
promotional,106 60 41 65 146 89 166 147 26 139 148 8 45
social,1 114 3 4 5 151 8 8 45
social,1 128 3 4 5 20 8 8 129
spam,106 60 41 9 174 175 176 196 5 177 178 145
ham,108 53 35 143 144 55 56 57 70 71 18 35 58 59
promotional,8 45 46 137 26 72 49 50 162
social,163 144 26 62 8 9 10 11 164 93 165 141
ham,106 107 35 14 26 52 9 145 109 110 111
spam,197 158 35 155 156 44 198 184 199 176 43 200 201 202
spam,106 60 41 9 174 175 176 95 5 177 178 145
ham,12 123 14 15 9 100 101 102 18 19
spam,185 186 164 93 187 188 57 3 189 98 190 92 43
social,60 3 22 61 13 9 10 11 50 35 173 128
spam,31 32 33 34 35 36 37 38 39 40 3 41 42 105 44
social,21 22 23 13 149 150 26 151 27 28 29 30
social,163 144 26 151 8 24 25 164 93 165 114
promotional,106 60 41 72 146 89 68 147 26 73 148 100 101 102
promotional,63 64 26 138 66 67 45 69 78
social,60 3 22 61 13 149 150 50 151 128
social,1 128 3 4 5 62 8 9 10 11
ham,96 97 98 131 185 99 57 16 17 103 104
social,163 144 26 112 113 8 8 129 164 93 165 128
spam,106 60 41 9 155 156 176 105 5 177 178 145
promotional,106 60 41 65 146 89 45 147 26 66 67 148 70 71
ham,12 52 14 15 9 100 101 102 18 19
spam,115 155 156 116 57 3 194 195 176 196 44
spam,152 153 154 89 191 192 157 95 5 158 35 159
social,21 22 23 13 149 150 26 20 27 28 29 2
ham,96 97 98 131 54 99 57 16 17 103 104
promotional,8 45 46 160 161 26 117 118 119 49 50 139
social,163 144 26 35 173 8 9 10 11 164 93 165 2
promotional,8 45 46 166 26 138 49 50 51
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 94
social,60 3 22 61 13 9 10 11 50 62 114
promotional,8 45 46 45 26 140 49 50 162
promotional,63 64 26 76 122 45 69 100 101 102
spam,115 191 192 116 57 3 194 195 176 94 44
ham,108 91 124 125 55 70 71 126 119 127
social,21 22 23 13 149 150 26 20 27 28 29 114
promotional,106 60 41 140 146 89 68 147 26 66 67 148 8 45
social,60 3 22 61 13 9 10 11 50 62 30
spam,152 153 154 89 191 192 157 105 5 158 35 159
ham,52 91 124 125 55 16 17 126 119 127
spam,106 60 41 9 191 192 176 196 5 177 178 145
ham,106 107 35 143 144 26 108 9 100 101 102 109 110 111
spam,106 60 41 9 174 175 176 43 5 177 178 145
spam,130 35 131 132 86 38 133 134 135 120 42 94 57 136
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 43
social,21 22 23 13 149 150 26 151 27 28 29 30
promotional,106 60 41 117 118 119 146 89 166 147 26 139 148 145
spam,106 60 41 9 174 175 176 95 5 177 178 145
promotional,8 45 46 160 161 26 65 49 50 73
ham,131 53 35 32 55 56 57 16 17 18 35 58 59
social,1 30 3 4 5 35 173 8 149 150
social,163 144 26 6 7 8 149 150 164 93 165 2
social,79 80 57 24 25 81 82 26 6 7 83 128
social,21 22 23 13 8 129 26 6 7 27 28 29 2
promotional,63 64 26 65 139 160 161 69 8 45
promotional,8 45 46 68 26 48 49 50 122
promotional,75 44 26 76 73 57 47 77 100 101 102
social,163 144 26 35 173 8 8 129 164 93 165 30
social,21 22 23 13 24 25 26 112 113 27 28 29 2
social,1 2 3 4 5 151 8 8 129
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 196
promotional,75 44 26 76 66 67 57 166 77 100 101 102
social,21 22 23 13 149 150 26 62 27 28 29 2
spam,31 32 33 34 35 36 37 38 39 40 3 41 42 95 44
promotional,106 60 41 48 146 89 45 147 26 139 148 16 17
promotional,115 116 98 117 118 119 47 120 44 121 66 67
promotional,115 116 98 138 160 161 120 44 121 122
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 196
social,60 3 22 61 13 24 25 50 20 141
social,60 3 22 61 13 149 150 50 62 141
promotional,75 44 26 72 139 57 68 77 70 71
promotional,8 45 46 166 26 65 49 50 51
promotional,115 116 98 138 160 161 120 44 121 162
social,163 144 26 62 8 8 45 164 93 165 114
spam,152 153 154 89 155 156 157 43 5 158 35 159
ham,106 107 35 14 26 52 9 145 109 110 111
spam,185 186 164 93 187 188 57 3 189 98 190 92 196
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 105
promotional,106 60 41 76 146 89 160 161 147 26 122 148 70 71
social,60 3 22 61 13 8 129 50 62 30
social,1 2 3 4 5 6 7 8 24 25
ham,52 53 35 185 55 56 57 100 101 102 18 35 58 59
promotional,115 116 98 140 45 120 44 121 51
ham,106 107 35 32 26 52 9 16 17 109 110 111
social,1 141 3 4 5 62 8 9 10 11
spam,106 60 41 9 203 204 176 95 5 177 178 145
social,163 144 26 151 8 24 25 164 93 165 141
promotional,8 45 46 47 26 117 118 119 49 50 73
spam,179 180 181 203 204 182 183 184 5 95
social,21 22 23 13 8 129 26 35 173 27 28 29 30
ham,12 108 14 15 9 78 18 19
ham,6 53 35 14 55 56 57 145 18 35 58 59
ham,12 193 14 15 9 100 101 102 18 19
promotional,115 116 98 117 118 119 160 161 120 44 121 162
social,1 141 3 4 5 151 8 24 25
social,1 30 3 4 5 112 113 8 149 150
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 94
social,79 80 57 9 10 11 81 82 26 62 83 30
promotional,106 60 41 48 146 89 137 147 26 122 148 8 45
promotional,115 116 98 65 68 120 44 121 139
social,163 144 26 20 8 8 45 164 93 165 128
social,163 144 26 62 8 8 129 164 93 165 128
promotional,106 60 41 76 146 89 68 147 26 66 67 148 78
spam,152 153 154 89 155 156 157 196 5 158 35 159
spam,31 32 33 34 35 36 37 38 39 40 3 41 42 94 44
promotional,106 60 41 72 146 89 166 147 26 162 148 8 45
promotional,63 64 26 140 139 68 69 16 17
promotional,8 45 46 160 161 26 140 49 50 73
ham,96 97 98 13 185 99 57 78 103 104
spam,185 186 164 93 187 188 57 3 189 98 190 92 43
ham,96 97 98 6 185 99 57 16 17 103 104
social,21 22 23 13 9 10 11 26 151 27 28 29 128
promotional,75 44 26 138 51 57 68 77 145
social,163 144 26 62 8 9 10 11 164 93 165 2
spam,106 60 41 9 191 192 176 94 5 177 178 145
social,163 144 26 112 113 8 8 45 164 93 165 114
ham,13 53 35 143 144 55 56 57 78 18 35 58 59
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 196
social,1 30 3 4 5 151 8 149 150
promotional,75 44 26 72 139 57 160 161 77 70 71
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 105
social,21 22 23 13 9 10 11 26 151 27 28 29 30
spam,31 32 33 34 35 36 37 38 39 40 3 41 42 105 44
promotional,106 60 41 138 146 89 166 147 26 73 148 16 17
promotional,115 116 98 65 45 120 44 121 51
promotional,115 116 98 76 47 120 44 121 139
social,60 3 22 61 13 149 150 50 20 2
promotional,106 60 41 138 146 89 45 147 26 139 148 145
social,1 114 3 4 5 35 173 8 8 129
promotional,75 44 26 117 118 119 139 57 166 77 145
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 43
social,1 30 3 4 5 151 8 9 10 11
social,1 2 3 4 5 6 7 8 8 45
promotional,75 44 26 140 122 57 137 77 16 17
social,79 80 57 8 45 81 82 26 20 83 30
ham,108 53 35 91 125 55 56 57 70 71 18 35 58 59
social,163 144 26 20 8 149 150 164 93 165 30
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 105
ham,123 91 124 125 55 145 126 119 127
social,163 144 26 62 8 24 25 164 93 165 128
spam,179 180 181 203 204 182 183 184 5 95
social,1 141 3 4 5 151 8 8 129
social,60 3 22 61 13 8 129 50 35 173 141
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 94
ham,74 53 35 91 125 55 56 57 100 101 102 18 35 58 59
promotional,63 64 26 117 118 119 139 45 69 78
social,21 22 23 13 9 10 11 26 151 27 28 29 30
social,1 2 3 4 5 6 7 8 8 129
social,79 80 57 24 25 81 82 26 151 83 141
spam,106 60 41 9 203 204 176 95 5 177 178 145
promotional,75 44 26 48 122 57 47 77 70 71
spam,185 186 164 93 187 188 57 3 189 98 190 92 196
ham,193 53 35 185 55 56 57 16 17 18 35 58 59
